COUNTY_NAME,DATE,CASE_TYPE,CASES_Native,CASES_Asian,CASES_Black,CASES_Hispanic,CASES_OtherRace,CASES_UnknownRace,CASES_White,Hispanic_as_Race,GEOFLAG,STATE_NAME,CASES_UnknownEthnicity,CASES_NotHispanic,TOTAL,LATEST,COUNTY_x,COUNTY_y,COUNTY,STATE
Alameda,2021-06-23 00:00:00,Complete,8590.0,370852.0,74650.0,167937.0,85863.0,14587.0,333008.0,0.0,County,California,,,,,,,6001.0,6.0
Alameda,2021-06-23 00:00:00,Partial,9611.0,396999.0,82468.0,188527.0,94257.0,17978.0,349748.0,0.0,County,California,,,,,,,6001.0,6.0
Alpine,2021-06-23 00:00:00,Complete,0.0,,,17.0,0.0,141.0,336.0,0.0,County,California,,,,,,,6003.0,6.0
Alpine,2021-06-23 00:00:00,Partial,0.0,,,17.0,0.0,153.0,358.0,0.0,County,California,,,,,,,6003.0,6.0
Amador,2021-06-23 00:00:00,Complete,167.0,280.0,106.0,1439.0,1189.0,650.0,13624.0,0.0,County,California,,,,,,,6005.0,6.0
Amador,2021-06-23 00:00:00,Partial,182.0,300.0,115.0,1606.0,1297.0,744.0,14701.0,0.0,County,California,,,,,,,6005.0,6.0
Butte,2021-06-23 00:00:00,Complete,1029.0,4007.0,964.0,10567.0,5119.0,1677.0,62301.0,0.0,County,California,,,,,,,6007.0,6.0
Butte,2021-06-23 00:00:00,Partial,1158.0,4557.0,1128.0,12226.0,5791.0,2000.0,68573.0,0.0,County,California,,,,,,,6007.0,6.0
Calaveras,2021-06-23 00:00:00,Complete,81.0,286.0,107.0,1570.0,1309.0,847.0,14724.0,0.0,County,California,,,,,,,6009.0,6.0
Calaveras,2021-06-23 00:00:00,Partial,88.0,303.0,117.0,1775.0,1433.0,918.0,15709.0,0.0,County,California,,,,,,,6009.0,6.0
Colusa,2021-06-23 00:00:00,Complete,76.0,126.0,38.0,4483.0,419.0,756.0,3003.0,0.0,County,California,,,,,,,6011.0,6.0
Colusa,2021-06-23 00:00:00,Partial,80.0,150.0,41.0,5150.0,477.0,871.0,3281.0,0.0,County,California,,,,,,,6011.0,6.0
Contra Costa,2021-06-23 00:00:00,Complete,5475.0,143969.0,44561.0,139963.0,58434.0,12053.0,321402.0,0.0,County,California,,,,,,,6013.0,6.0
Contra Costa,2021-06-23 00:00:00,Partial,5991.0,152150.0,48716.0,153406.0,64030.0,13696.0,337221.0,0.0,County,California,,,,,,,6013.0,6.0
Del Norte,2021-06-23 00:00:00,Complete,552.0,242.0,49.0,842.0,601.0,414.0,6412.0,0.0,County,California,,,,,,,6015.0,6.0
Del Norte,2021-06-23 00:00:00,Partial,621.0,277.0,59.0,1001.0,681.0,505.0,7123.0,0.0,County,California,,,,,,,6015.0,6.0
El Dorado,2021-06-23 00:00:00,Complete,548.0,5445.0,708.0,8131.0,5058.0,1436.0,70581.0,0.0,County,California,,,,,,,6017.0,6.0
El Dorado,2021-06-23 00:00:00,Partial,630.0,5961.0,802.0,9549.0,5732.0,1915.0,76591.0,0.0,County,California,,,,,,,6017.0,6.0
Fresno,2021-06-23 00:00:00,Complete,2328.0,47675.0,11601.0,167045.0,31455.0,10733.0,139234.0,0.0,County,California,,,,,,,6019.0,6.0
Fresno,2021-06-23 00:00:00,Partial,2771.0,54637.0,13484.0,193271.0,36192.0,13161.0,153378.0,0.0,County,California,,,,,,,6019.0,6.0
Glenn,2021-06-23 00:00:00,Complete,175.0,231.0,,3650.0,986.0,306.0,5096.0,0.0,County,California,,,,,,,6021.0,6.0
Glenn,2021-06-23 00:00:00,Partial,182.0,259.0,,4094.0,1083.0,375.0,5472.0,0.0,County,California,,,,,,,6021.0,6.0
Humboldt,2021-06-23 00:00:00,Complete,2402.0,1750.0,639.0,6299.0,3699.0,1761.0,51647.0,0.0,County,California,,,,,,,6023.0,6.0
Humboldt,2021-06-23 00:00:00,Partial,2686.0,1966.0,715.0,7250.0,4231.0,2093.0,56251.0,0.0,County,California,,,,,,,6023.0,6.0
Imperial,2021-06-23 00:00:00,Complete,549.0,852.0,461.0,75579.0,7628.0,2530.0,11572.0,0.0,County,California,,,,,,,6025.0,6.0
Imperial,2021-06-23 00:00:00,Partial,870.0,984.0,531.0,93302.0,11014.0,3849.0,13136.0,0.0,County,California,,,,,,,6025.0,6.0
Inyo,2021-06-23 00:00:00,Complete,613.0,178.0,,1282.0,422.0,258.0,6414.0,0.0,County,California,,,,,,,6027.0,6.0
Inyo,2021-06-23 00:00:00,Partial,721.0,192.0,,1421.0,461.0,273.0,6809.0,0.0,County,California,,,,,,,6027.0,6.0
Kern,2021-06-23 00:00:00,Complete,1822.0,18923.0,9813.0,130587.0,25976.0,8028.0,112115.0,0.0,County,California,,,,,,,6029.0,6.0
Kern,2021-06-23 00:00:00,Partial,2118.0,21557.0,11272.0,151069.0,30340.0,10298.0,125650.0,0.0,County,California,,,,,,,6029.0,6.0
Kings,2021-06-23 00:00:00,Complete,241.0,1751.0,1285.0,21639.0,3094.0,1047.0,14720.0,0.0,County,California,,,,,,,6031.0,6.0
Kings,2021-06-23 00:00:00,Partial,275.0,1967.0,1469.0,25016.0,3535.0,1390.0,16297.0,0.0,County,California,,,,,,,6031.0,6.0
Lake,2021-06-23 00:00:00,Complete,430.0,454.0,384.0,4499.0,1125.0,371.0,17703.0,0.0,County,California,,,,,,,6033.0,6.0
Lake,2021-06-23 00:00:00,Partial,487.0,500.0,430.0,5240.0,1297.0,464.0,19346.0,0.0,County,California,,,,,,,6033.0,6.0
Lassen,2021-06-23 00:00:00,Complete,0.0,111.0,69.0,597.0,336.0,391.0,4393.0,0.0,County,California,,,,,,,6035.0,6.0
Lassen,2021-06-23 00:00:00,Partial,0.0,124.0,83.0,661.0,383.0,438.0,4780.0,0.0,County,California,,,,,,,6035.0,6.0
Los Angeles,2021-06-23 00:00:00,Complete,27666.0,918731.0,285511.0,1866728.0,556367.0,87711.0,1583341.0,0.0,County,California,,,,,,,6037.0,6.0
Los Angeles,2021-06-23 00:00:00,Partial,31328.0,1006936.0,323783.0,2158957.0,634815.0,112798.0,1716886.0,0.0,County,California,,,,,,,6037.0,6.0
Madera,2021-06-23 00:00:00,Complete,565.0,1713.0,997.0,26265.0,4356.0,1419.0,23144.0,0.0,County,California,,,,,,,6039.0,6.0
Madera,2021-06-23 00:00:00,Partial,637.0,1922.0,1096.0,29878.0,4924.0,1695.0,25030.0,0.0,County,California,,,,,,,6039.0,6.0
Marin,2021-06-23 00:00:00,Complete,510.0,11540.0,2516.0,26563.0,10196.0,1952.0,134241.0,0.0,County,California,,,,,,,6041.0,6.0
Marin,2021-06-23 00:00:00,Partial,576.0,12198.0,2790.0,29978.0,11130.0,2256.0,141036.0,0.0,County,California,,,,,,,6041.0,6.0
Mariposa,2021-06-23 00:00:00,Complete,65.0,109.0,42.0,790.0,473.0,209.0,5018.0,0.0,County,California,,,,,,,6043.0,6.0
Mariposa,2021-06-23 00:00:00,Partial,75.0,147.0,58.0,967.0,555.0,302.0,6065.0,0.0,County,California,,,,,,,6043.0,6.0
Mendocino,2021-06-23 00:00:00,Complete,708.0,857.0,185.0,8725.0,2692.0,820.0,31029.0,0.0,County,California,,,,,,,6045.0,6.0
Mendocino,2021-06-23 00:00:00,Partial,842.0,992.0,212.0,10103.0,3090.0,1161.0,33984.0,0.0,County,California,,,,,,,6045.0,6.0
Merced,2021-06-23 00:00:00,Complete,597.0,7854.0,2042.0,48399.0,7191.0,8169.0,24478.0,0.0,County,California,,,,,,,6047.0,6.0
Merced,2021-06-23 00:00:00,Partial,715.0,9288.0,2457.0,59050.0,8497.0,9721.0,27956.0,0.0,County,California,,,,,,,6047.0,6.0
Modoc,2021-06-23 00:00:00,Complete,64.0,,,290.0,48.0,109.0,2133.0,0.0,County,California,,,,,,,6049.0,6.0
Modoc,2021-06-23 00:00:00,Partial,77.0,,,326.0,58.0,130.0,2294.0,0.0,County,California,,,,,,,6049.0,6.0
Mono,2021-06-23 00:00:00,Complete,50.0,118.0,,1943.0,184.0,,4936.0,0.0,County,California,,,,,,,6051.0,6.0
Mono,2021-06-23 00:00:00,Partial,60.0,130.0,,2130.0,198.0,,5213.0,0.0,County,California,,,,,,,6051.0,6.0
Monterey,2021-06-23 00:00:00,Complete,1629.0,12734.0,3170.0,118732.0,12076.0,6145.0,71165.0,0.0,County,California,,,,,,,6053.0,6.0
Monterey,2021-06-23 00:00:00,Partial,1761.0,13758.0,3533.0,135458.0,13543.0,7217.0,77402.0,0.0,County,California,,,,,,,6053.0,6.0
Napa,2021-06-23 00:00:00,Complete,475.0,6643.0,1354.0,23652.0,5273.0,1470.0,47230.0,0.0,County,California,,,,,,,6055.0,6.0
Napa,2021-06-23 00:00:00,Partial,548.0,7235.0,1516.0,27751.0,5946.0,1780.0,50882.0,0.0,County,California,,,,,,,6055.0,6.0
Nevada,2021-06-23 00:00:00,Complete,344.0,675.0,157.0,3309.0,2049.0,1092.0,42082.0,0.0,County,California,,,,,,,6057.0,6.0
Nevada,2021-06-23 00:00:00,Partial,378.0,759.0,178.0,3862.0,2482.0,1238.0,46612.0,0.0,County,California,,,,,,,6057.0,6.0
Orange,2021-06-23 00:00:00,Complete,8215.0,435174.0,22332.0,351220.0,166474.0,52378.0,715602.0,0.0,County,California,,,,,,,6059.0,6.0
Orange,2021-06-23 00:00:00,Partial,9311.0,473794.0,24930.0,403509.0,184962.0,60649.0,772399.0,0.0,County,California,,,,,,,6059.0,6.0
Placer,2021-06-23 00:00:00,Complete,1553.0,21370.0,3290.0,19111.0,14144.0,2300.0,141716.0,0.0,County,California,,,,,,,6061.0,6.0
Placer,2021-06-23 00:00:00,Partial,1733.0,23174.0,3643.0,21522.0,15918.0,2839.0,153426.0,0.0,County,California,,,,,,,6061.0,6.0
Plumas,2021-06-23 00:00:00,Complete,68.0,77.0,,413.0,269.0,182.0,7195.0,0.0,County,California,,,,,,,6063.0,6.0
Plumas,2021-06-23 00:00:00,Partial,78.0,88.0,,461.0,301.0,201.0,7761.0,0.0,County,California,,,,,,,6063.0,6.0
Riverside,2021-06-23 00:00:00,Complete,6957.0,85328.0,50236.0,348189.0,95808.0,18840.0,400987.0,0.0,County,California,,,,,,,6065.0,6.0
Riverside,2021-06-23 00:00:00,Partial,8450.0,94757.0,56937.0,404691.0,110580.0,25308.0,441319.0,0.0,County,California,,,,,,,6065.0,6.0
Sacramento,2021-06-23 00:00:00,Complete,11210.0,152415.0,52057.0,117348.0,67403.0,14845.0,332425.0,0.0,County,California,,,,,,,6067.0,6.0
Sacramento,2021-06-23 00:00:00,Partial,12716.0,168758.0,58778.0,134459.0,76762.0,20706.0,358280.0,0.0,County,California,,,,,,,6067.0,6.0
San Benito,2021-06-23 00:00:00,Complete,225.0,1387.0,302.0,14561.0,2288.0,2549.0,10306.0,0.0,County,California,,,,,,,6069.0,6.0
San Benito,2021-06-23 00:00:00,Partial,255.0,1531.0,336.0,16801.0,2598.0,2912.0,11368.0,0.0,County,California,,,,,,,6069.0,6.0
San Bernardino,2021-06-23 00:00:00,Complete,5579.0,97272.0,49363.0,310355.0,88076.0,15026.0,264533.0,0.0,County,California,,,,,,,6071.0,6.0
San Bernardino,2021-06-23 00:00:00,Partial,6566.0,107081.0,56132.0,359651.0,100768.0,19410.0,292197.0,0.0,County,California,,,,,,,6071.0,6.0
San Diego,2021-06-23 00:00:00,Complete,13199.0,240651.0,54092.0,492773.0,152148.0,39004.0,848924.0,0.0,County,California,,,,,,,6073.0,6.0
San Diego,2021-06-23 00:00:00,Partial,14878.0,258010.0,60543.0,553868.0,169813.0,47049.0,910452.0,0.0,County,California,,,,,,,6073.0,6.0
San Francisco,2021-06-23 00:00:00,Complete,2944.0,220196.0,23550.0,87311.0,41619.0,6650.0,234030.0,0.0,County,California,,,,,,,6075.0,6.0
San Francisco,2021-06-23 00:00:00,Partial,3267.0,233250.0,25880.0,95860.0,44699.0,7703.0,246332.0,0.0,County,California,,,,,,,6075.0,6.0
San Joaquin,2021-06-23 00:00:00,Complete,4281.0,66149.0,17817.0,91098.0,38942.0,17490.0,98799.0,0.0,County,California,,,,,,,6077.0,6.0
San Joaquin,2021-06-23 00:00:00,Partial,4929.0,75660.0,20358.0,107628.0,43718.0,20754.0,107696.0,0.0,County,California,,,,,,,6077.0,6.0
San Luis Obispo,2021-06-23 00:00:00,Complete,681.0,4522.0,1092.0,22583.0,8935.0,5450.0,99306.0,0.0,County,California,,,,,,,6079.0,6.0
San Luis Obispo,2021-06-23 00:00:00,Partial,785.0,4991.0,1243.0,26608.0,10052.0,6499.0,108247.0,0.0,County,California,,,,,,,6079.0,6.0
San Mateo,2021-06-23 00:00:00,Complete,4791.0,159298.0,8553.0,91431.0,43520.0,7475.0,203367.0,0.0,County,California,,,,,,,6081.0,6.0
San Mateo,2021-06-23 00:00:00,Partial,5373.0,169072.0,9427.0,103409.0,47776.0,9126.0,215375.0,0.0,County,California,,,,,,,6081.0,6.0
Santa Barbara,2021-06-23 00:00:00,Complete,1101.0,11784.0,2841.0,85083.0,14674.0,3247.0,114329.0,0.0,County,California,,,,,,,6083.0,6.0
Santa Barbara,2021-06-23 00:00:00,Partial,1264.0,12895.0,3248.0,97692.0,16998.0,4665.0,125094.0,0.0,County,California,,,,,,,6083.0,6.0
Santa Clara,2021-06-23 00:00:00,Complete,6426.0,541334.0,23063.0,236034.0,88097.0,17032.0,393662.0,0.0,County,California,,,,,,,6085.0,6.0
Santa Clara,2021-06-23 00:00:00,Partial,7171.0,574231.0,25201.0,262515.0,95621.0,19920.0,413539.0,0.0,County,California,,,,,,,6085.0,6.0
Santa Cruz,2021-06-23 00:00:00,Complete,618.0,6482.0,1250.0,46213.0,10339.0,3032.0,96385.0,0.0,County,California,,,,,,,6087.0,6.0
Santa Cruz,2021-06-23 00:00:00,Partial,670.0,6989.0,1383.0,51457.0,11513.0,3508.0,102863.0,0.0,County,California,,,,,,,6087.0,6.0
Shasta,2021-06-23 00:00:00,Complete,1324.0,2051.0,460.0,3926.0,3922.0,1151.0,44859.0,0.0,County,California,,,,,,,6089.0,6.0
Shasta,2021-06-23 00:00:00,Partial,1487.0,2434.0,533.0,4692.0,4586.0,1529.0,52320.0,0.0,County,California,,,,,,,6089.0,6.0
Sierra,2021-06-23 00:00:00,Complete,0.0,,,96.0,22.0,,1096.0,0.0,County,California,,,,,,,6091.0,6.0
Sierra,2021-06-23 00:00:00,Partial,0.0,,,100.0,24.0,,1143.0,0.0,County,California,,,,,,,6091.0,6.0
