Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Louisiana,STATE,22,,Aged 0-4,Complete,0,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 18-29,Complete,152896,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 30-39,Complete,175568,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 40-49,Complete,197093,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 50-59,Complete,269940,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 5-17,Complete,27402,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 60-69,Complete,342921,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 70 plus,Complete,358914,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Age Unknown,Complete,138,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Black,Complete,435376,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Other Race,Complete,162047,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Unknown Race,Complete,17758,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,White,Complete,909691,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Female,Complete,853587,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Male,Complete,666910,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Gender Unkown,Complete,4375,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 0-4,Incomplete,0,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 18-29,Incomplete,26604,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 30-39,Incomplete,22933,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 40-49,Incomplete,22859,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 50-59,Incomplete,24435,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 5-17,Incomplete,14238,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 60-69,Incomplete,21216,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 70 plus,Incomplete,17074,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Age Unknown,Incomplete,154,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Black,Incomplete,51230,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Other Race,Incomplete,22035,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Unknown Race,Incomplete,2787,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,White,Incomplete,73461,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Female,Incomplete,80398,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Male,Incomplete,68345,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Gender Unkown,Incomplete,770,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 0-4,Unvaccinated,309339,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 18-29,Unvaccinated,610797,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 30-39,Unvaccinated,431338,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 40-49,Unvaccinated,334821,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 50-59,Unvaccinated,321644,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 5-17,Unvaccinated,757495,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 60-69,Unvaccinated,157833,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Aged 70 plus,Unvaccinated,66256,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Age Unknown,Unvaccinated,,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Black,Unvaccinated,1016310,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Other Race,Unvaccinated,75512,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Unknown Race,Unvaccinated,,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,White,Unvaccinated,1917954,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Female,Unvaccinated,1345983,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Male,Unvaccinated,1648393,-10245400.654649725,3646392.9129667636
_Louisiana,STATE,22,,Gender Unkown,Unvaccinated,,-10245400.654649725,3646392.9129667636
_Region 1,REGION,,1,Aged 0-4,Complete,0,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 18-29,Complete,49977,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 30-39,Complete,58370,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 40-49,Complete,53888,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 50-59,Complete,66425,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 5-17,Complete,9126,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 60-69,Complete,76508,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 70 plus,Complete,72831,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Age Unknown,Complete,48,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Black,Complete,122654,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Other Race,Complete,49120,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Unknown Race,Complete,3866,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,White,Complete,211533,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Female,Complete,216841,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Male,Complete,169339,-9964407.995989345,3459440.0726060355
